No,Name,Type1,Type2,Height,Weight,Legendary
115,Kangaskhan,Grass,Flying,2.2,61.0,0
116,Horsea,Psychic,Flying,3.6,62.2,0
117,Seadra,Rock,Dragon,1.1,44.4,0
118,Goldeen,Grass,Dragon,1.9,17.5,0
119,Seaking,Poison,Water,3.6,17.9,0
120,Staryu,Flying,Rock,2.2,93.3,0
121,Starmie,Water,Water,0.4,47.9,0
122,MrMime,Rock,Fire,1.8,23.8,0
123,Scyther,Flying,Flying,2.6,28.2,0
124,Jynx,Fire,Rock,3.2,91.2,0
125,Electabuzz,Flying,Psychic,3.8,80.8,0
126,Magmar,Dragon,Fire,1.6,47.0,0
127,Pinsir,Water,Poison,1.8,82.4,0
128,Tauros,Flying,Normal,0.8,85.6,0
129,Magikarp,Water,Water,0.7,19.8,0
130,Gyarados,Grass,Water,3.8,47.5,0
131,Lapras,Poison,Grass,0.4,77.4,0
132,Ditto,Water,Grass,3.7,52.2,0
133,Eevee,Grass,Flying,2.2,98.9,0
134,Vaporeon,Psychic,Fire,2.3,39.6,0
135,Jolteon,Grass,Normal,2.4,16.5,0
136,Flareon,Water,Water,3.5,84.3,0
137,Porygon,Dragon,Electric,1.3,83.3,0
138,Omanyte,Electric,Psychic,0.9,2.7,0
139,Omastar,Electric,Rock,1.2,93.6,0
140,Kabuto,Water,Water,3.0,17.7,0
141,Kabutops,Rock,Grass,1.0,58.3,0
142,Aerodactyl,Poison,Poison,1.0,36.7,0
143,Snorlax,Grass,Normal,1.0,27.5,0
144,Articuno,Rock,Fire,3.9,25.2,1
145,Zapdos,Electric,Grass,2.7,36.7,1
146,Moltres,Dragon,Flying,3.3,54.6,1
147,Dratini,Rock,Flying,3.5,49.2,0
148,Dragonair,Poison,Grass,1.8,70.5,0
149,Dragonite,Flying,Psychic,1.3,40.1,0
150,Mewtwo,Water,,2.9,70.6,1
